name,fullname,level,type,category
,Artificial Life,C,Journal,8
,Computational Intelligence,C,Journal,8
,Computer Speech and Language,C,Journal,8
,Connection Science,C,Journal,8
DSS,Decision Support Systems,C,Journal,8
EAAI,Engineering Applications of Artificial Intelligence,C,Journal,8
,Expert Systems,C,Journal,8
ESWA,Expert Systems with Applications,C,Journal,8
,Fuzzy Sets and Systems,C,Journal,8
TG,IEEE Transactions on Games,C,Journal,8
IET-CVI,IET Computer Vision,C,Journal,8
,IET Signal Processing,C,Journal,8
IVC,Image and Vision Computing,C,Journal,8
IDA,Intelligent Data Analysis,C,Journal,8
IJCIA,International Journal of Computational Intelligence and Applications,C,Journal,8
IJIS,International Journal of Intelligent Systems,C,Journal,8
IJNS,International Journal of Neural Systems,C,Journal,8
IJPRAI,International Journal of Pattern Recognition and Artificial Intelligence,C,Journal,8
IJUFKS,"International Journal of Uncertainty, Fuzziness and Knowledge-Based System",C,Journal,8
IJDAR,International Journal on Document Analysis and Recognition,C,Journal,8
JETAI,Journal of Experimental and Theoretical Artificial Intelligence,C,Journal,8
KBS,Knowledge-Based Systems,C,Journal,8
,Machine Translation,C,Journal,8
,Machine Vision and Applications,C,Journal,8
,Natural Computing,C,Journal,8
NLE,Natural Language Engineering,C,Journal,8
NCA,Neural Computing & Applications,C,Journal,8
NPL,Neural Processing Letters,C,Journal,8
,Neurocomputing,C,Journal,8
PAA,Pattern Analysis and Applications,C,Journal,8
PRL,Pattern Recognition Letters,C,Journal,8
,Soft Computing,C,Journal,8
WI,Web Intelligence,C,Journal,8
AAAI,AAAI Conference on Artificial Intelligence,A,Meeting,8
NeurIPS,Annual Conference on Neural Information Processing Systems,A,Meeting,8
ACL,Annual Meeting of the Association for Computational Linguistics,A,Meeting,8
CVPR,IEEE Conference on Computer Vision and Pattern Recognition,A,Meeting,8
ICCV,International Conference on Computer Vision,A,Meeting,8
ICML,International Conference on Machine Learning,A,Meeting,8
IJCAI,International Joint Conference on Artificial Intelligence,A,Meeting,8
COLT,Annual Conference on Computational Learning Theory,B,Meeting,8
EMNLP,Conference on Empirical Methods in Natural Language Processing,B,Meeting,8
ECAI,European Conference on Artificial Intelligence,B,Meeting,8
ECCV,European Conference on Computer Vision,B,Meeting,8
ICRA,IEEE International Conference on Robotics and Automation,B,Meeting,8
ICAPS,International Conference on Automated Planning and Scheduling,B,Meeting,8
ICCBR,International Conference on Case-Based Reasoning and Development,B,Meeting,8
COLING,International Conference on Computational Linguistics,B,Meeting,8
KR,International Conference on Principles of Knowledge Representation and Reasoning,B,Meeting,8
UAI,International Conference on Uncertainty in Artificial Intelligence,B,Meeting,8
AAMAS,International Joint Conference on Autonomous Agents and Multi-agent Systems,B,Meeting,8
PPSN,Parallel Problem Solving from Nature,B,Meeting,8
AISTATS,Artificial Intelligence and Statistics,C,Meeting,8
ACCV,Asian Conference on Computer Vision,C,Meeting,8
ACML,Asian Conference on Machine Learning,C,Meeting,8
BMVC,British Machine Vision Conference,C,Meeting,8
NLPCC,CCF International Conference on Natural Language Processing and Chinese Computing,C,Meeting,8
CoNLL,Conference on Computational Natural Language Learning,C,Meeting,8
GECCO,Genetic and Evolutionary Computation Conference,C,Meeting,8
ICTAI,IEEE International Conference on Tools with Artificial Intelligence,C,Meeting,8
IROS,IEEE\RSJ International Conference on Intelligent Robots and Systems,C,Meeting,8
ALT,International Conference on Algorithmic Learning Theory,C,Meeting,8
ICANN,International Conference on Artificial Neural Networks,C,Meeting,8
FG,International Conference on Automatic Face and Gesture Recognition,C,Meeting,8
ICDAR,International Conference on Document Analysis and Recognition,C,Meeting,8
ILP,International Conference on Inductive Logic Programming,C,Meeting,8
KSEM,"International conference on Knowledge Science,Engineering and Management",C,Meeting,8
ICONIP,International Conference on Neural Information Processing,C,Meeting,8
ICPR,International Conference on Pattern Recognition,C,Meeting,8
ICB,International Joint Conference on Biometrics,C,Meeting,8
IJCNN,International Joint Conference on Neural Networks,C,Meeting,8
PRICAI,Pacific Rim International Conference on Artificial Intelligence,C,Meeting,8
NAACL,The Annual Conference of the North American Chapter of the Association for Computational Linguistics,C,Meeting,8
TOCHI,ACM Transactions on Computer-Human Interaction,A,Journal,9
IJHCS,International Journal of Human Computer Studies,A,Journal,9
CSCW,Computer Supported Cooperative Work,B,Journal,9
HCI,Human Computer Interaction,B,Journal,9
,IEEE Transactions on Human-Machine Systems,B,Journal,9
IWC,Interacting with Computers,B,Journal,9
IJHCI,International Journal of Human-Computer Interaction,B,Journal,9
UMUAI,User Modeling and User-Adapted Interaction,B,Journal,9
BIT,Behaviour & Information Technology,C,Journal,9
PUC,Personal and Ubiquitous Computing,C,Journal,9
PMC,Pervasive and Mobile Computing,C,Journal,9
CSCW,ACM Conference on Computer Supported Cooperative Work and Social Computing,A,Meeting,9
CHI,ACM Conference on Human Factors in Computing Systems,A,Meeting,9
UbiComp,ACM International Conference on Ubiquitous Computing,A,Meeting,9
GROUP,ACM Conference on Supporting Group Work,B,Meeting,9
IUI,ACM International Conference on Intelligent User Interfaces,B,Meeting,9
ITS,ACM International Conference on Interactive Tabletops and Surfaces,B,Meeting,9
UIST,ACM Symposium on User Interface Software and Technology,B,Meeting,9
ECSCW,European Conference on Computer Supported Cooperative Work,B,Meeting,9
PERCOM,IEEE International Conference on Pervasive Computing and Communications,B,Meeting,9
MobileHCI,International Conference on Human Computer Interaction with Mobile Devices and Services,B,Meeting,9
DIS,ACM Conference on Designing Interactive Systems,C,Meeting,9
ICMI,ACM International Conference on Multimodal Interaction,C,Meeting,9
ASSETS,ACM SIGACCESS Conference on Computers and Accessibility,C,Meeting,9
GI,Graphics Interface conference,C,Meeting,9
UIC,IEEE International Conference on Ubiquitous Intelligence and Computing,C,Meeting,9
,IEEE World Haptics Conference,C,Meeting,9
INTERACT,IFIP TC13 Conference on Human-Computer Interaction,C,Meeting,9
IDC,Interaction Design and Children,C,Meeting,9
CollaborateCom,"International Conference on Collaborative Computing: Networking, Applications and Worksharing",C,Meeting,9
CSCWD,International Conference on Computer Supported Cooperative Work in Design,C,Meeting,9
CoopIS,International Conference on Cooperative Information Systems,C,Meeting,9
MobiQuitous,"International Conference on Mobile and Ubiquitous Systems: Computing,Networking and Services",C,Meeting,9
AVI,International Working Conference on Advanced Visual Interfaces,C,Meeting,9
JACM,Journal of the ACM,A ,Journal,10
Proc. IEEE,Proceedings of the IEEE,A ,Journal,10
,Bioinformatics,B,Journal,10
,Briefings in Bioinformatics,B,Journal,10
Cognition,Cognition: International Journal of Cognitive Science,B,Journal,10
TASAE,IEEE Transactions on Automation Science and Engineering,B,Journal,10
TGARS,IEEE Transactions on Geoscience and Remote Sensing,B,Journal,10
TITS,IEEE Transactions on Intelligent Transportation Systems,B,Journal,10
TMI,IEEE Transactions on Medical Imaging,B,Journal,10
TR,IEEE Transactions on Robotics,B,Journal,10
TCBB,IEEE-ACM Transactions on Computational Biology and Bioinformatics,B,Journal,10
JCST,Journal of Computer Science and Technology,B,Journal,10
JAMIA,Journal of the American Medical Informatics Association,B,Journal,10
,PLOS Computational Biology,B,Journal,10
,Science China Information Sciences,B,Journal,10
,The Computer Journal,B,Journal,10
,World Wide Web Journal,B,Journal,10
,BMC Bioinformatics,C,Journal,10
,Cybernetics and Systems,C,Journal,10
FCS,Frontiers of Computer Science,C,Journal,10
,IEEE Geoscience and Remote Sensing Letters,C,Journal,10
,JBHI,C,Journal,10
,TBD,C,Journal,10
,IET Intelligent Transport Systems,C,Journal,10
,JBI,C,Journal,10
,Medical Image Analysis,C,Journal,10
WWW,International World Wide Web Conferences,A,Meeting,10
RTSS,Real-Time Systems Symposium,A,Meeting,10
CogSci,Cognitive Science Society Annual Conference,B,Meeting,10
BIBM,IEEE International Conference on Bioinformatics and Biomedicine,B,Meeting,10
EMSOFT,International Conference on Embedded Software,B,Meeting,10
ISMB,International conference on Intelligent Systems for Molecular Biology,B,Meeting,10
RECOMB,International Conference on Research in Computational Molecular Biology,B,Meeting,10
AMIA,American Medical Informatics Association Annual Symposium,C,Meeting,10
APBC,Asia Pacific Bioinformatics Conference,C,Meeting,10
,IEEE International Conference on Big Data,C,Meeting,10
,IEEE International Conference on Cloud Computing,C,Meeting,10
SMC,"IEEE International Conference on Systems, Man, and Cybernetics",C,Meeting,10
COSIT,International Conference on Spatial Information Theory,C,Meeting,10
ISBRA,International Symposium on Bioinformatics Research and Applications,C,Meeting,10
